Issue Id,Summary,Description,Date Created,Date Modified,Issue type,Milestone,Status,Resolution,Reporter,Labels,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments
39,Check for ByteString memory leaks,"Since ByteString's can point to (larger) bytestrings, it is easy to create ""bytestring memory leaks"". We have already fixed some of these, but there may be others.",09/24/12 01:11:37 PM,10/05/12 08:47:07 AM,Task,,Closed,Fixed,edsko,distributed-process network-transport,"Comment:edsko:10/05/12 08:47:07 AM:

We store bytestrings primarily in two locations: As PIDs and as undecoded messages. We now copy the bytestring in both those places, and moreover make sure that this copy happens eagerly. In addition, messages put into type channels are now decoded eagerly, so we don't retain bytestrings there at all. 

This doesn't mean this issue is definitely completely fixed, but I'll close it until further evidence appears that there are additional leaks.","Comment:edsko:10/05/12 08:47:07 AM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,rank1dynamic not ghc 7.6 compatible (requires base 4.5.*),"if I  change the cabal constraints to 
  Build-Depends:       base <4.7 && > 4.4,
                       ghc-prim >= 0.2 && < 0.4,
                       binary >= 0.5 && < 0.6 

it seems to build fine, and then I can cabal install distributed-process without any compile time problems 
(i'll start playing around and testing if it works as desired on ghc 7.6 shortly :) )",09/24/12 08:53:32 PM,09/27/12 03:04:33 PM,Task,,Closed,Fixed,cartazio,,"Comment:edsko:09/27/12 03:04:33 PM:

I'm confused. ghc 7.6 ships with base 4.6 (which was already allowed in the .cabal file). Base 4.4 is ghc 7.2; you are right that base 4.4 was not supported. I have now uploaded version 0.1.0.1 which does compile with ghc 7.2/base 4.4 (as well as ghc 7.6, but it already did).","Comment:edsko:09/27/12 03:04:33 PM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,functionSDict and functionTDict should use FQN,"The static label used for mkStatic is ModuleName.function_name, but the ModuleName is not used for the source and target dictionaries.",10/02/12 08:49:12 AM,10/05/12 08:44:47 AM,Task,,Closed,Fixed,edsko,distributed-process Bug,"Comment:edsko:10/05/12 08:44:47 AM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Asynchronous exception bug in spawn,"The following code in `Network.Transport.Util` is unsafe with regard to asynchronous exceptions. If an asynchronous exception is thrown to the forked thread before the endpoint address is put to the `addr` MVar then the final `takeMVar` will dead-lock:

```haskell
spawn :: Transport -> (EndPoint -> IO ()) -> IO EndPointAddress
spawn transport proc = doo
  addr <- newEmptyMVar
  forkIO $ do
    Right endpoint <- newEndPoint transport
    putMVar addr (address endpoint)
    proc endpoint
  takeMVar addr
```

One way to solve this is using a combination of `mask` and `try`. However a way more simple implementation is:

```haskell
spawn :: Transport -> (EndPoint -> IO ()) -> IO EndPointAddress
spawn transport proc = do
  Right endpoint <- newEndPoint transport
  forkIO $ proc endpoint
  return $ address endpoint
```

Since the original code has to wait for the completion for `newEndPoint` anyway we could just as well execute it in the main thread and only execute `proc endpoint` in a separate thread. No need for an `MVar` so no posibility of dead-lock.

However since this code is so simple I wonder if there's actually a need for this combinator. Is it used anywhere? If not, I propose to remove it.
",10/05/12 03:54:16 PM,12/17/12 06:56:53 PM,Task,distributed-process-0.5.0,Open,Unresolved,basvandijk,Bug network-transport,"Comment:edsko:10/10/12 09:28:33 AM:

closed","Comment:edsko:10/10/12 09:29:56 AM:

Asynchronous exceptions are not an issue here because the thread ID of the new thread is not exposed and hence nobody can throw an asynchronous exception to that thread. Nevertheless, you are right of course that we were ignoring the possibility of error in newEndPoint. That's now fixed.

(You are also right that we could potentially removed this completely, but that would require a major version increment. Meh.)","Comment:basvandijk:10/11/12 09:35:21 PM:

> Asynchronous exceptions are not an issue here because the thread ID of the new thread is not exposed and hence nobody can throw an asynchronous exception to that thread. 

But the RTS can still throw [asynchronous exceptions](http://hackage.haskell.org/packages/archive/base/latest/doc/html/Control-Exception.html_t:AsyncException) to the new thread.

> Nevertheless, you are right of course that we were ignoring the possibility of error in newEndPoint. That's now fixed.

But why execute the `newEndPoint` inside the new thread and go to the trouble of creating an MVar and waiting for it when you can just execute it in the main thread which is simpler, safer and probably a bit faster to?","Comment:edsko:10/11/12 09:48:45 PM:

Yeah, I'm not sure either, but I probably had a (possibly wrong) reason at the time :) You're probably right that it can be simplified, but I couldn't remember why I had done it this way in the first place so I was a bit hesitant to change it. 

And if your heap is overflowing inside spawn you have bigger problems :-) Point taken though.","Comment:edsko:10/12/12 09:53:26 AM:

It was something to do with not wanting to do certain operations on the main thread, because the main thread is by default a bound thread.. Even so it should probably be okay because newEndPoint will spawn its own threads to do most of the work.. ","Comment:edsko:10/23/12 03:27:40 PM:

reopened",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Improve efficiency of message matching,"In particular, storing messages by type could be very beneficial.",10/15/12 10:20:36 AM,01/07/13 08:49:21 PM,Task,Horizon,Open,Unresolved,edsko,Feature-Request distributed-process,"Comment:hyperthunk:01/07/13 07:12:18 PM:

So would we store the accepted mailbox as Map Fingerprint (StrictList a) or some such? Is Map the right data structure for this or donee want a strict version?","Comment:edsko:01/07/13 07:17:10 PM:

You have to be very careful here: you still need to guarantee ordering. If a process does a receiveWait for type A *or* type B then we need to make sure that if a message of either type exists they are delivered in the order that they were received.","Comment:hyperthunk:01/07/13 08:49:21 PM:

> You have to be very careful here: you still need to guarantee ordering.

Yes of course, I was jumping ahead without thinking there. I suspect then, some kind of custom data structure that maintains the priority property but supports searching/inserting by key. Ralf Hinze et al present a Priority Search Queue which IIRC was used (or adapted) in the GHC IO manager, so perhaps we can take some inspiration from there. The primary difference is that we want to select by a range of keys and then order by priority.","Comment:hyperthunk:01/08/13 12:45:26 PM:

Referenced in commit:
https://github.com/haskell-distributed/distributed-process/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Better warning if binary is not installed on VM,,10/16/12 09:44:17 AM,01/04/13 04:04:48 PM,Task,Horizon,Open,Unresolved,edsko,Bug distributed-process-azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Make all distributed-process-demos work on Azure,,10/16/12 09:44:44 AM,01/04/13 04:04:44 PM,Task,Horizon,Open,Unresolved,edsko,Feature-Request distributed-process-azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,add OTP style framework of standard *behaviours*,"It'd be great to have a go at implementing OTP style behaviours (a la gen_server, supervisor, etc) now that distribute-process is stable (looking). I'm quite happy to contribute, but there are no contribution guidelines so I'm not sure if I should fork and add a distributed-process-framework sub package to the repository or do this as a separate project or what. Any pointers would be much appreciated.",10/18/12 12:28:21 PM,10/19/12 05:57:32 PM,Task,,Closed,Fixed,hyperthunk,,"Comment:edsko:10/18/12 12:30:37 PM:

Yes, various people have talked about this. It's outside the scope of the Cloud Haskell project proper, so I would suggest you start a separate Github repository for it and invite people on Twitter to contribute to it (I'll be happy to retweet, a number of people have asked about OTP on twitter). I suggest 'distributed-process-platform' for the name of the package. ","Comment:edsko:10/18/12 12:32:18 PM:

I'm happy enough to answer questions (by email, or on the parallel-haskell mailing list) but cannot contribute myself.","Comment:hyperthunk:10/18/12 01:00:07 PM:

Ok great - I'll start a new repo and come ask questions on the mailing list (which I didn't know existed!) as and when I need to. Thanks!","Comment:hyperthunk:10/18/12 01:00:07 PM:

closed","Comment:cartazio:10/19/12 03:26:42 PM:

This site page for documenting interest right?","Comment:edsko:10/19/12 03:31:08 PM:

For now.","Comment:edsko:10/19/12 03:31:10 PM:

reopened","Comment:dysinger:10/19/12 04:42:51 PM:

<- interest","Comment:KirinDave:10/19/12 04:54:39 PM:

Likewise, interested. OTP isn't so much a requirement as a natural evolution of having distributed processes and process trees and wanting to manage them sanely.","Comment:hyperthunk:10/19/12 05:18:28 PM:

FWIW as a professional erlang programmer, I suspect many of the otp concepts are I'll fitting to cloud Haskell. For example, gen_server is probably far less useful than a set o abstraction for working with typed or untyped channels in a consistent way (request/reply channels, higher order/delegated channels and the like). The supervisor concept is definitely worth porting however, and the application concept maybe have a place too.

I will post back when I get around to setting up a repo an for those who live in/around London, I'll be attending the next LHUG meeting later this month.","Comment:hyperthunk:10/19/12 05:18:28 PM:

closed","Comment:hyperthunk:10/19/12 05:41:15 PM:

Guys - please add ideas/feature requests to the issue tracker at hyperthunk/distributed-process-platform. I am not as *hot* a Haskell hacker as I am an Erlang/ML one, so of course suggestions and contributions will be most welcome. In particular I'm keen to get early feedback on the model for describing type constraints within the various generic  moving parts, staring with supervision trees. And feel free to spread the word on the mailing list do we can have a wider discussion. I'll post something tonight to kick that off.","Comment:edsko:10/19/12 05:57:32 PM:

Great, thanks!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Timeout version for typed channels read,,10/19/12 04:40:41 PM,11/06/12 10:01:19 AM,Task,,Closed,Fixed,edsko,Feature-Request distributed-process,"Comment:wiz:11/05/12 08:33:28 AM:

Referenced in commit:
https://github.com/haskell-distributed/distributed-process/
","Comment:wiz:11/05/12 08:50:51 AM:

Perhaps an injection of System.Timeout.timeout could do the trick?

    receiveChanTimeout :: Serializable a => Int -> ReceivePort a -> Process (Maybe a)
    receiveChanTimeout n = liftIO . timeout n . atomically . receiveSTM
","Comment:edsko:11/05/12 09:54:55 AM:

That implementation would be fine, if it wasn't for the slightly strange requirement that if a timeout of 0 is specified the function should do a non-blocking check for messages; that check is allowed to take time, but is not allowed to block. An implementation that does support that behaviour is rather more tricky.","Comment:wiz:11/05/12 10:25:13 AM:

So, the problem is absence of tryTakeMVar-like function in STM?

Maybe a version with such requirement lifted can be provided before a nonblocking TVar-peeking function could be implemented.

Alternanatively, a minimal delay value can be imposed with a value in a ballpark of some ""optimistic"" STM section run time. There could be a problem with slow systems unable to retrieve their messages, but one can use a larger custom value instead of default pseudo-zero.","Comment:edsko:11/05/12 05:04:32 PM:

Actually, I think this should be straightforward, now that I think about it a little more. Let me have a look at this today or tomorrow. There is a bunch of functionality I want to add to typed channels anyway.","Comment:edsko:11/06/12 10:01:19 AM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Functor instance for ReceivePort ,,10/19/12 04:41:03 PM,11/06/12 11:59:54 AM,Task,,Closed,Fixed,edsko,Feature-Request distributed-process,"Comment:edsko:10/19/12 04:45:26 PM:

And point to the functor instance in the documentation for `mergePortsXXX`.","Comment:edsko:11/06/12 11:59:54 AM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Applicative instance for ReceivePort,,10/19/12 04:52:48 PM,11/06/12 11:59:54 AM,Task,,Closed,Fixed,edsko,Feature-Request distributed-process,"Comment:edsko:11/06/12 11:59:54 AM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Alternative instance for ReceivePort,,10/19/12 04:53:00 PM,11/06/12 11:59:54 AM,Task,,Closed,Fixed,edsko,Feature-Request distributed-process,"Comment:edsko:11/06/12 11:59:54 AM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Monad instance for ReceivePort,,10/19/12 05:01:15 PM,11/06/12 11:59:54 AM,Task,,Closed,Fixed,edsko,Feature-Request distributed-process,"Comment:edsko:11/06/12 11:59:54 AM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,The SimpleLocalnet backend should take (RemoteTable -> RemoteTable) rather than RemoteTable,This avoids the need for Control.Distributed.Process.Node in applications that use it.,10/22/12 03:12:04 PM,01/28/13 10:47:57 AM,Task,distributed-process-simplelocalnet-0.2.1,Open,Unresolved,edsko,Bug distributed-process-simplelocalnet,"Comment:hyperthunk:01/28/13 10:47:53 AM:

assigned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,ntohl is not available on Windows,,10/23/12 08:00:46 AM,01/04/13 04:04:24 PM,Task,Horizon,Open,Unresolved,edsko,network-transport-tcp Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,multicast does not work on Windows," ""bind: failed (Cannot assign requested address (WSAEADDRNOTAVAIL))",10/23/12 08:30:57 AM,10/23/12 08:30:57 AM,Task,,Open,Unresolved,edsko,Bug distributed-process-simplelocalnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,unmonitor should remove monitor messages from the mailbox (if any),,10/23/12 12:23:33 PM,12/17/12 06:56:53 PM,Task,distributed-process-0.5.0,Open,Unresolved,edsko,Feature-Request distributed-process,"Comment:hyperthunk:12/13/12 08:53:24 PM:

Personally I think this should be an *option* rather than the default behaviour.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Add ""cookie"" or other identification mechanism to SimpleLocalnet",so that we have multiple independent Cloud Haskell applications running on the same network.,10/23/12 01:59:26 PM,01/04/13 04:02:42 PM,Task,Horizon,Open,Unresolved,edsko,Feature-Request distributed-process-simplelocalnet,"Comment:edsko:10/23/12 03:11:52 PM:

(Possibly it might suffice to make the multicast port configurable.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Re-export runProcess and forkProcess in SimpleLocalnet,so that startSlave and startMaster are truly optional.,10/23/12 02:51:52 PM,01/04/13 04:02:29 PM,Task,distributed-process-0.5.0,Open,Unresolved,edsko,Feature-Request distributed-process-simplelocalnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Update ""binary"" to 0.6","Is it possible to make `distributed-process` depend on `binary-0.6` rather than 0.5 ?

I wanted to use Cloud Haskell with this new database library (which requires binary-0.6)
http://hackage.haskell.org/package/CurryDB
",10/30/12 01:01:13 PM,11/07/12 11:25:50 AM,Task,,Closed,Fixed,nushio3,,"Comment:nushio3:10/31/12 05:22:59 AM:

Referenced in commit:
https://github.com/haskell-distributed/distributed-process/
","Comment:edsko:11/05/12 09:16:44 AM:

closed","Comment:edsko:11/05/12 09:16:53 AM:

Thanks for the patch.","Comment:edsko:11/05/12 09:23:12 AM:

Changed it so that the lower bound is still 0.5, rather than _insisting_ on 0.6 (https://github.com/haskell-distributed/distributed-process/commit/f89a686a8f4e89db9f1a954667d346b9fa72d03b). Let me know if that's a problem.","Comment:nushio3:11/07/12 11:25:50 AM:

It worked for me. Thank you very much!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Update ""binary"" to 0.6",Fix issue #58,10/31/12 05:22:59 AM,11/05/12 09:16:14 AM,Task,,Closed,Fixed,nushio3,,"Comment:nushio3:10/31/12 05:29:45 AM:

Just updating the version constraint https://github.com/nushio3/distributed-process/commit/0f030915bb6ff26bb74d9c63d6a2ac8342bf726e worked for me (tested using cabal-dev.) Please check if there are any side effects.","Comment:edsko:11/05/12 09:16:14 AM:

Referenced in commit:
https://github.com/haskell-distributed/distributed-process/b81f8aceeb276aa1f402d982bdf4e8b32b842d67
","Comment:edsko:11/05/12 09:16:14 AM:

merged","Comment:edsko:11/05/12 09:16:14 AM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Meta package to install all the other packages?,"I had some issues where cabal had installed more than one version of these packages and apps were compiled using a mix of versions. Wondering if having a meta package (no code) that includes the other ones will help managing this.

I had to do something like this to get out of the cabal mess:
```sh
ghc-pkg list | grep -e distributed -e network-transport | xargs -t -I pkg ghc-pkg unregister pkg --force
```
And then reinstall the packages.

Maybe the following is already a good way?

```shell
cabal install distributed-process-simplelocalnet
```",11/02/12 08:33:27 PM,01/28/13 02:19:08 PM,Task,distributed-process-0.5.0,Open,Unresolved,rodlogic,Feature-Request,"Comment:hyperthunk:01/28/13 02:18:52 PM:

assigned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Missing receiveChanTimeout,"There should be a something like receiveTimeout/expectTimeout for channels.

    receiveChanTimeout :: Serializable a => Int -> ReceivePort a -> Process (Maybe a)
",11/05/12 08:32:19 AM,11/05/12 08:35:30 AM,Task,,Closed,Fixed,wiz,,"Comment:wiz:11/05/12 08:33:28 AM:

oops.. a dupe of DPLEGACY-47.","Comment:wiz:11/05/12 08:33:28 AM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Messages from the ""main channel"" as a receivePort","At the moment it is not possible to wait for a message from the main channel or from a typed channel. It might be useful to add a function

    expectChan :: Serializable a => Process (ReceivePort a)

which creates a `ReceivePort` for messages of a specific type sent to the main channel. This `ReceivePort` can then be merged with other `ReceivePort`s as usual.",11/06/12 12:01:36 PM,12/14/12 02:21:05 PM,Task,,Closed,Fixed,edsko,Feature-Request distributed-process,"Comment:hyperthunk:11/10/12 03:19:59 PM:

+1 - this would be very useful for distributed-process-platform e.g., GenServer could make good use of this.","Comment:simonmar:12/13/12 12:13:18 PM:

I can't see how to implement this, however I have implemented an alternative that achieves the desired effect; see 847abf494233523dba7d0b40628c3af9e870be91

Let me know what you think, and maybe we can merge it in.","Comment:hyperthunk:12/14/12 02:18:56 AM:

I'm reading through this to understand it at the moment. Forgive me for talking out loud here - I'm relatively green and it seems to help. So this definition is pretty neat:

```haskell
 waitIncoming = fmap Left (readTChan incoming) `orElse` fmap Right readchans
```

Am I right in reading this as meaning that the implementation of `readTChan` must call `retry` if the channel is empty? 
I see the non-blocking read in `CQueue` composes this with another STM action that just returns `Nothing` so we can get out if all of the received queue, the main input channel **and** whatever is given for `readchans` evaluates to, are all empty or contain no messages that satisfy the list of matches given.

Then in `Primatives.receiveWait` where we want to block indefinitely (until we get a message) you pass `retry` as `readchans` and therefore we restart the transaction again. For the xChans variants in `Primatives` you're basically passing `matchChans` instead of `retry` which uses `receiveSTM` on the receive port, and this presumably works in a similar vein.

Have I grokked that properly? It seems like a reasonable approach from what I've understood so far. 

I can't see at all how to create the alternative `expectChan` API either. In fact, from what I've seen I think that would be far too invasive a change. You'd surely need to change the node controller's inbound message handling to do that, because from what I can see at the moment, channels are implemented using a different data structure, which is accessed and written to by `handleIncomingMessages` when the destination of the incoming message is addressable by `SendPortIdentifier` rather than `ProcessIdentifier`.

So even if there is some way of getting at that process state from outside the node controller, I can't see how to make that work - how would you know that a message addressed to the `ProcessIdentifier` needed to be *re-routed* as it were?

","Comment:simonmar:12/14/12 08:16:39 AM:

Yes, you're understanding it properly. To implement expectChan, the main process inbox would need to be an STM-only data structure, so that we could compose it with the other channel reads.  However, doing this would make it very difficult to implement efficiently, because there would be no way to avoid re-reading the whole message queue each time a new message came in.

I talked this over with @edsko and @dcoutts on IRC yesterday, and we think that it's possible to implement the other design alternative:

```haskell
matchChan :: ReceivePort a -> (a -> Process b) -> Match b
```

Which is a slightly nicer API, but a bit more difficult to implement.  I'm looking into it now.
","Comment:edsko:12/14/12 08:16:39 AM:

mentioned","Comment:dcoutts:12/14/12 08:16:39 AM:

mentioned","Comment:edsko:12/14/12 08:27:49 AM:

> So even if there is some way of getting at that process state from outside the node controller, I can't see how to make that work - how would you know that a message addressed to the ProcessIdentifier needed to be re-routed as it were?

Rerouting would not be necessary -- you would simply inspect the mailbox when somebody tries to read from the `ReceivePort`, which is just a wrapper around an STM transaction. The difficulty with this approach is that we need to have an `STM` transaction to extract a message from the mailbox. The mailbox is already an `STM` channel but at the moment I try hard to keep the `STM` transactions used in `match` and co very short. In order to implement `expectChan` we'd have to change it so that the entire operation to extract a mailbox message would have to run inside STM. This would lead to larger STM transactions when reading from the mailbox, which may be interrupted by writers. This would be bad for performance. There may be a clever way to do it, but it needs more thought.

@simonmar's `matchChan` solution is very similar to `expectChan` in that it gives you a way to look at the mailbox as well as a channels, just like `expectChan` does, but it has the advantage that we can group all `match`es that look at the mailbox, scan the mailbox as usual, if that fails, more to the next group of `match`es that look at channels, and so on. In the worst case, if you alternate mailbox and channel matches, this may still have pretty bad performance, but with a bit of care from the person writing the `match`es it should work.","Comment:simonmar:12/14/12 08:27:49 AM:

mentioned","Comment:hyperthunk:12/14/12 12:37:38 PM:

@simon @edsko thanks for the explanations, I can see why a course grained transaction would suck. What irc channel(s) are worth hanging out on btw - is there one for parallel Haskell in particular?","Comment:simon:12/14/12 12:37:38 PM:

mentioned","Comment:edsko:12/14/12 12:37:38 PM:

mentioned","Comment:edsko:12/14/12 12:47:45 PM:

Support for `matchChan` has now been added -- many thanks to @simonmar.","Comment:simonmar:12/14/12 12:47:45 PM:

mentioned","Comment:edsko:12/14/12 12:47:45 PM:

closed","Comment:hyperthunk:12/14/12 02:21:05 PM:

Thanks to both of you for the quick turn-around! As @rodlogic mentioned elsewhere, this will be enormously useful in distributed-process-platform. Now all I have to do is read through it and understand how it works... :)","Comment:rodlogic:12/14/12 02:21:05 PM:

mentioned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,runProcess should propagate exception,,11/06/12 01:44:12 PM,12/17/12 06:56:53 PM,Task,distributed-process-0.5.0,Open,Unresolved,edsko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Enable GC of connections without losing ordering constraints,"When process A sends a message to process B, we must open a connection from A to B and, currently,  *keep that connection open* for the duration of A's lifetime in order to maintain ordering guarantees. If A sends messages to lots of different processes (think of a server responding to clients) this will result in a space leak.

What we need is a way to garbage collect connections when they are no longer used, but still maintain ordering guarantees. There are (at least) two ways in which we might implement this:

* *Client side*. When we close the connection, we wait for an acknowledgement from the other side that the connection has been closed. Once we have received this acknowledgement we know that all messages we sent have been received and hence it's safe to open a new connection. If the sender starts sending more messages before receiving the acknowledgement this messages must be buffered. 

  We could implement this at the Cloud Haskell level, and have the *node controller* send the acknowledgement. This introduces the question ""what about connections to the node controller itself"". We already have implicit reconnect to and from node controllers, implying potential message loss, but what we *don't* want is reordering of messages to node controllers. 

  We could instead implement it at the Network.Transport level and introduce a new `OutgoingConnectionClosed` event, but there is a technical difficulty here too: outgoing connections don't have identifiers on the sender side, only on the receiver side, so we somehow need to be able identify to the sender *which* connection got closed, without making `connect` synchronous. (The sender allocates part of the receiver-side ID, but only half of it.) One easy solution is to introduce

      closeWithAck :: Connection -> Int64 -> IO ()

  so that we allow the sender to provide a token which will be returned in the `OutgoingConnectionClosed` event.

* *Server side*. When we close the connection, we remember the connection ID (but see discussion above: we don't know connection IDs sender side -- similar solutions could be proposed here). Then when we open a new connection we first send a message saying ""all messages you receive on this connection must be delivered after you have got all messages on connection *X*""; this implies server side buffering.

  Of course, this by itself doesn't gain us much because now we still have to maintain state: the connection ID of the last connection to every process we ever sent a message to. So the question becomes when can we forget this state? This seems to require some sort of acknowledgement from the server, though.

Client side seems the easier way to solve this problem.",11/07/12 09:56:20 AM,11/07/12 12:50:36 PM,Task,,Open,Unresolved,edsko,Feature-Request distributed-process network-transport,"Comment:edsko:11/07/12 09:59:58 AM:

A related issue is *when* do we garbage collect connections. One option is to clear them periodically after some timeout period. Another possibility is to collect them when process A has no further references process B (using weak references somehow). The main difficulty there is that ProcessId at the moment is a stateless object, and *must be* as long as we have pure decoding (ProcessIds are serializable, after all), unless we resort to `unsafePerformIO` trickery.","Comment:edsko:11/07/12 12:50:36 PM:

Note that there is a manual workaround for people for whom this is an important issue: you can manually cleanup connections by using `reconnect`. This is described in more detail [in a recent blog post](http://www.well-typed.com/blog/72).","Comment:edsko:11/07/12 12:58:14 PM:

Referenced in commit:
https://github.com/haskell-distributed/distributed-process/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
